-173,-177,0
-188,-175,0
-178,180,1
-160,-183,0
-196,-176,0
-179,180,1
-8,200,5
-181,183,1
-7,202,5
-7,-8,4
175,197,2
-186,180,1
176,-184,3
175,-182,3
181,-178,3
-2,2,4
184,170,2
-175,-180,0
-176,180,1
-163,-178,0
174,174,2
5,0,4
-180,175,1
-188,-174,0
10,202,5
-3,199,5
181,165,2
-3,-1,4
177,184,2
-169,174,1
-9,202,5
185,181,2
-2,2,4
-183,-179,0
0,3,4
7,1,4
-178,-173,0
178,186,2
1,4,4
-186,182,1
-161,-179,0
-205,-180,0
187,-166,3
2,2,4
-181,180,1
-167,-174,0
173,-177,3
185,-170,3
-175,178,1
-179,176,1
-183,182,1
4,3,4
-181,181,1
-7,198,5
-1,205,5
177,188,2
186,193,2
-176,-175,0
-184,176,1
0,198,5
2,3,4
-4,-10,4
-185,178,1
180,-185,3
6,205,5
-175,179,1
-169,181,1
175,-164,3
-177,-177,0
180,-193,3
187,183,2
-7,-1,4
182,-181,3
1,0,4
184,182,2
184,-187,3
0,5,4
-182,178,1
-192,182,1
-191,-179,0
-170,-180,0
181,191,2
183,189,2
15,5,4
183,185,2
174,-194,3
-183,181,1
178,189,2
174,183,2
-4,-2,4
-178,-177,0
-184,-171,0
-7,6,4
180,-168,3
186,179,2
-179,183,1
177,-178,3
4,198,5
183,-182,3
-2,198,5
-177,173,1
181,183,2
-1,196,5
-190,-182,0
-179,177,1
-184,181,1
-170,181,1
4,194,5
1,202,5
179,185,2
169,-174,3
1,210,5
-163,-182,0
4,194,5
-2,2,4
179,-185,3
-193,-178,0
177,176,2
2,198,5
-170,-176,0
179,176,2
3,3,4
1,198,5
182,186,2
190,173,2
-163,-177,0
-6,-4,4
-9,1,4
-1,2,4
4,0,4
-9,1,4
-2,198,5
-192,-176,0
-188,-190,0
-187,192,1
188,175,2
184,174,2
2,206,5
181,169,2
3,-3,4
9,198,5
-183,-187,0
-183,-185,0
0,202,5
-1,7,4
-3,1,4
-181,177,1
3,205,5
-191,-176,0
-176,-182,0
-186,-183,0
-3,-2,4
184,-178,3
181,-168,3
-6,4,4
-8,209,5
184,188,2
-1,211,5
0,5,4
176,192,2
-7,199,5
-190,185,1
5,204,5
1,4,4
182,-151,3
4,-5,4
0,9,4
181,-183,3
-7,207,5
8,204,5
-192,-186,0
-172,-180,0
-186,-182,0
-176,181,1
176,180,2
